from,to,amount,resource,time
0,72832678164482443,2.314814814852184e-05,water,194
0,72832678164482443,2.314814814852184e-05,energy,194
0,72832678164482443,2.3148134687289712e-05,food,195
0,72832678164482443,2.314814814852184e-05,water,195
0,72832678164482443,2.314814814852184e-05,energy,195
0,72832678164482443,2.314816160975397e-05,food,196
0,72832678164482443,2.314814814852184e-05,water,196
0,72832678164482443,2.314814814852184e-05,energy,196
0,72832678164482443,2.3148134687289712e-05,food,197
0,72832678164482443,2.314814814852184e-05,water,197
0,72832678164482443,2.314814814852184e-05,energy,197
0,72832678164482443,2.314816160975397e-05,food,198
0,72832678164482443,2.314814814852184e-05,water,198
0,72832678164482443,2.314814814852184e-05,energy,198
0,72832678164482443,2.3148134687289712e-05,food,199
0,72832678164482443,2.314814814852184e-05,water,199
0,72832678164482443,2.314814814852184e-05,energy,199
0,72832678164482443,2.314816160975397e-05,food,200
0,72832678164482443,2.314814814852184e-05,water,200
0,72832678164482443,2.314814814852184e-05,energy,200
0,72832678164482443,2.3148134687289712e-05,food,201
0,72832678164482443,2.314814814852184e-05,water,201
0,72832678164482443,2.314814814852184e-05,energy,201
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,201
0,72832678164482443,2.314816160975397e-05,food,202
0,72832678164482443,2.314814814852184e-05,water,202
0,72832678164482443,2.314814814852184e-05,energy,202
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,202
0,72832678164482443,2.3148134687289712e-05,food,203
0,72832678164482443,2.314814814852184e-05,water,203
0,72832678164482443,2.314814814852184e-05,energy,203
0,72832678164482443,2.314816160975397e-05,food,204
0,72832678164482443,2.314814814852184e-05,water,204
0,72832678164482443,2.314814814852184e-05,energy,204
0,72832678164482443,2.3148134687289712e-05,food,205
0,72832678164482443,2.314814814852184e-05,water,205
0,72832678164482443,2.314814814852184e-05,energy,205
0,72832678164482443,2.314816160975397e-05,food,206
0,72832678164482443,2.314814814852184e-05,water,206
0,72832678164482443,2.314814814852184e-05,energy,206
0,72832678164482443,2.3148134687289712e-05,food,207
0,72832678164482443,2.314814814852184e-05,water,207
0,72832678164482443,2.314814814852184e-05,energy,207
0,72832678164482443,2.314816160975397e-05,food,208
0,72832678164482443,2.314814814852184e-05,water,208
0,72832678164482443,2.314814814852184e-05,energy,208
0,72832678164482443,2.3148134687289712e-05,food,209
0,72832678164482443,2.314814814852184e-05,water,209
0,72832678164482443,2.314814814852184e-05,energy,209
0,72832678164482443,2.314816160975397e-05,food,210
0,72832678164482443,2.314814814852184e-05,water,210
0,72832678164482443,2.314814814852184e-05,energy,210
0,72832678164482443,2.3148134687289712e-05,food,211
0,72832678164482443,2.314814814852184e-05,water,211
0,72832678164482443,2.314814814852184e-05,energy,211
3419285057113602419,8363630981974643044,1.7763568394002505e-15,food,211
0,72832678164482443,2.314816160975397e-05,food,212
0,72832678164482443,2.314814814852184e-05,water,212
0,72832678164482443,2.314814814852184e-05,energy,212
8363630981974643044,3419285057113602419,1.7763568394002505e-15,food,212
0,72832678164482443,2.3148134687289712e-05,food,213
0,72832678164482443,2.314814814852184e-05,water,213
0,72832678164482443,2.314814814852184e-05,energy,213
0,72832678164482443,2.314816160975397e-05,food,214
0,72832678164482443,2.314814814852184e-05,water,214
0,72832678164482443,2.314814814852184e-05,energy,214
0,72832678164482443,2.3148134687289712e-05,food,215
0,72832678164482443,2.314814814852184e-05,water,215
0,72832678164482443,2.314814814852184e-05,energy,215
0,72832678164482443,2.314816160975397e-05,food,216
0,72832678164482443,2.314814814852184e-05,water,216
0,72832678164482443,2.314814814852184e-05,energy,216
